"","def_zip","n","zip_char"
"1","00718",1,"""00718"""
"2","00959",1,"""00959"""
"3","00985",1,"""00985"""
"4","01040",1,"""01040"""
"5","01201",1,"""01201"""
"6","01606",1,"""01606"""
"7","01810",1,"""01810"""
"8","01813",1,"""01813"""
"9","01850",1,"""01850"""
"10","01902",1,"""01902"""
"11","02121",1,"""02121"""
"12","02125",1,"""02125"""
"13","02126",1,"""02126"""
"14","02127",1,"""02127"""
"15","02145",1,"""02145"""
"16","02149",1,"""02149"""
"17","02151",1,"""02151"""
"18","02190",5,"""02190"""
"19","02351",1,"""02351"""
"20","02809",1,"""02809"""
"21","02904",1,"""02904"""
"22","03102",1,"""03102"""
"23","04073",1,"""04073"""
"24","04530",1,"""04530"""
"25","05301",1,"""05301"""
"26","06035",1,"""06035"""
"27","06053",1,"""06053"""
"28","06066",1,"""06066"""
"29","06067",1,"""06067"""
"30","06117",1,"""06117"""
"31","06890",1,"""06890"""
"32","07065",1,"""07065"""
"33","07106",1,"""07106"""
"34","07107",1,"""07107"""
"35","07111",1,"""07111"""
"36","07112",1,"""07112"""
"37","07501",1,"""07501"""
"38","07601",1,"""07601"""
"39","07627",1,"""07627"""
"40","07628",1,"""07628"""
"41","07726",3,"""07726"""
"42","07940",1,"""07940"""
"43","08010",3,"""08010"""
"44","08053",3,"""08053"""
"45","08077",1,"""08077"""
"46","08081",1,"""08081"""
"47","08088",1,"""08088"""
"48","08330",1,"""08330"""
"49","08332",1,"""08332"""
"50","08648",1,"""08648"""
"51","08722",2,"""08722"""
"52","08812",1,"""08812"""
"53","08861",2,"""08861"""
"54","08901",3,"""08901"""
"55","10002",1,"""10002"""
"56","10009",1,"""10009"""
"57","10010",2,"""10010"""
"58","10024",2,"""10024"""
"59","10029",1,"""10029"""
"60","10030",2,"""10030"""
"61","10032",3,"""10032"""
"62","10033",2,"""10033"""
"63","10036",2,"""10036"""
"64","10039",1,"""10039"""
"65","10040",1,"""10040"""
"66","10044",1,"""10044"""
"67","10128",1,"""10128"""
"68","10451",1,"""10451"""
"69","10452",1,"""10452"""
"70","10453",1,"""10453"""
"71","10456",8,"""10456"""
"72","10458",1,"""10458"""
"73","10466",1,"""10466"""
"74","10468",1,"""10468"""
"75","10470",1,"""10470"""
"76","10472",1,"""10472"""
"77","10473",1,"""10473"""
"78","10474",1,"""10474"""
"79","10510",1,"""10510"""
"80","10550",2,"""10550"""
"81","10583",1,"""10583"""
"82","10601",1,"""10601"""
"83","10801",1,"""10801"""
"84","10980",1,"""10980"""
"85","11015",1,"""11015"""
