FullText,Name,Address,ACT,AD,ADLT,ADM,AH,ALZ,AOT,ARIPI,ASENA,AT,BMT,BREXP,CARIP,CBT,CCBHC,CDM,CFT,CHLD,CHLOR,CIT,CJ,CLF,CLOZA,CM,CMHC,CMHG,CO,COOT,CRT,CSBG,DBT,DEC,DROPE,DV,ECT,EMDR,ES,FG,FLUPH,FPSY,FQHC,GL,GT,HALOP,HI,HIVT,HS,HV,ICM,IDD,IH,ILOPE,IMR,IPC,IPT,ITU,KIT,LAD,LMG,LOXAP,LURAS,MC,MD,MF,MH,MI,MSMH,NRT,NSC,OLANZ,OLANZF,OMH,OP,ORES,OSF,OSG,PA,PALIP,PCF,PED,PEER,PEFP,PEOFF,PEON,PERPH,PH,PHDT,PI,PIMOZ,PROCH,PRS,PSY,PTSD,PVTN,PVTP,QUETI,RES,RISPE,RTCA,RTCC,SCJJ,SE,SED,SEF,SEMP,SF,SH,SHB,SHC,SI,SMA,SMHA,SMI,SMON,SMOP,SMPD,SNR,SPS,SS,STDT,STU,SUMH,SWFS,TAY,TBG,TBI,TBS,TCC,TELE,THIOR,THIOT,TMS,TPC,TRIFL,TRMA,TT,VAF,VAMC,VET,VO,VRS,WI,YAD,ZIPRA
"ABA Health Services Inc 3939 Reisterstown Road Suite 150 Baltimore, Maryland 21215 Phone: (410) 367-7821 Intake: (410) 367-7822 ① MH SUMH ③ OP ④ OMH ⑤ FLUPH HALOP PERPH THIOR TRIFL ARIPI ASENA CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ⑥ AT BMT CBT CFT DBT GT IDD IPT TT ⑧ PVTP ⑩ CLF CMHG CSBG FG ITU MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF ⑫ AD TAY CO SED SMI ⑭ ACT COOT FPSY PRS SPS ⑮ STU TCC ⑯ SMOP ⑰ ADLT CHLD SNR YAD ⑳ F4 F47",ABA Health Services Inc ,"3939 Reisterstown Road Suite 150 Baltimore, Maryland 21215",1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1
"Advanced Behavioral Health Inc 5820 York Road Suite 202 Baltimore, Maryland 21212 Phone: (301) 345-1022 Intake: (301) 345-1022x7005 ① MH SUMH ② TELE ③ OP ④ OMH ⑤ CHLOR HALOP ARIPI CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ⑥ AT BMT CBT CRT CFT GT IDD IPT TT ⑧ PVTP ⑩ CLF MC MD PI SF SWFS ⑫ AD TAY GL CO DV TRMA PEFP PTSD SED SMI ⑭ FPSY PRS SPS ⑯ SMOP ⑰ ADLT CHLD YAD ⑳ SP",Advanced Behavioral Health Inc ,"5820 York Road Suite 202 Baltimore, Maryland 21212",0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
"Adventist Healthcare 14901 Broschart Road Rockville, Maryland 20850 Phone: (301) 251-4500 Intake: (301) 251-4545 ① MH SUMH ② TELE ③ HI OP PHDT ④ PSY ⑤ CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ⑥ AT BMT CBT DBT GT IDD IPT TT ⑦ PEON ⑧ PVTN ⑩ MC MD PI SF SI ⑫ AD TAY SE GL VET ADM MF CJ CO TRMA TBI PEFP PTSD SMI ⑭ CM COOT ES FPSY SEMP SPS ⑮ NRT STU TCC ⑯ SMON ⑰ ADLT CHLD SNR YAD ⑲ AH ⑳ N13 SP F4 F17 F25 F28 F31 F36 F43 F47",Adventist Healthcare ,"14901 Broschart Road Rockville, Maryland 20850",0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1
"Affiliated Sante Group 1400 Spring Street Suite 100 Silver Spring, Maryland 20910 Phone: (301) 589-2303 Intake: (301) 589-2303x0 ① MH ③ OP ④ OMH ⑤ CHLOR FLUPH HALOP LOXAP PERPH CARIP CLOZA ILOPE LURAS OLANZF PALIP ⑥ AT BMT CBT DBT EMDR GT IDD IPT TT ⑧ PVTN ⑩ MC MD PI SF ⑪ SS ⑭ ACT IMR PEER PRS ⑯ SMPD",Affiliated Sante Group ,"1400 Spring Street Suite 100 Silver Spring, Maryland 20910",1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Aleks House/Lanham Outpatient 4200 Forbes Boulevard Suite 104 Lanham, Maryland 20706 Phone: (301) 429-6100 Intakes: (301) 429-6100x200 (301) 429-6100x201 ① MH SUMH ③ OP ④ OMH ⑤ CHLOR FLUPH HALOP LOXAP PERPH PROCH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ⑥ AT BMT CBT CFT DBT GT IDD IPT TT ⑧ PVTP ⑩ MC MD PI SF SI SMHA SWFS ⑫ AD CO SMI ⑭ COOT FPSY PRS ⑮ STU TCC ⑯ SMPD ⑰ ADLT CHLD SNR YAD",Aleks House/Lanham Outpatient ,"4200 Forbes Boulevard Suite 104 Lanham, Maryland 20706",0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"All Thats Therapeutic Inc 6188 Oxon Hill Road Suite 500 Oxon Hill, Maryland 20745 Phone: (301) 567-0400 ① MH ③ OP ④ OMH ⑤ THIOT THIOR ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ⑥ BMT CBT CFT DBT GT IPT TT ⑦ CIT PEON WI ⑧ PVTP ⑩ CLF MD OSF SCJJ SEF SF SMHA SWFS ⑫ AD ⑭ COOT FPSY PRS ⑯ SMOP ⑰ ADLT CHLD SNR YAD ⑳ SP",All Thats Therapeutic Inc ,"6188 Oxon Hill Road Suite 500 Oxon Hill, Maryland 20745",0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1
"Allegany County Health Department 12501-12503 Willowbrook Road Cumberland, Maryland 21502 Phone: (301) 759-5280 Intake: (301) 759-5050 ① MH SUMH ② TELE ③ OP ④ OMH ⑤ CHLOR FLUPH HALOP THIOR ARIPI CARIP CLOZA LURAS OLANZ QUETI RISPE ZIPRA ⑥ BMT CBT CFT GT IDD IPT ⑦ CIT PEON WI ⑧ OSG ⑩ CLF MC MD PI SF ⑪ SS ⑫ AD GL CO ⑬ TBS ⑭ COOT PEER ⑮ STU TCC ⑯ SMPD ⑰ ADLT CHLD SNR YAD ⑲ AH",Allegany County Health Department ,"12503 Willowbrook Road Cumberland, Maryland 21502",0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Anne Arundel Cnty Dept of Health Adolescent and Family Services 122 Langley Road North Suite A Glen Burnie, Maryland 21060 Phone: (410) 222-6785 ① MH SUMH ② TELE ③ OP ④ OMH ⑤ FLUPH HALOP LOXAP PERPH ARIPI BREXP CARIP ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ⑥ AT CBT CFT DBT GT IDD IPT TT ⑧ LMG ⑨ FQHC ⑩ CLF MD SF SMHA ⑫ AD GL CO TRMA PTSD SED ⑭ COOT FPSY SPS ⑯ SMON ⑰ CHLD YAD ⑳ SP",Anne Arundel Cnty Dept of Health Adolescent and Family Services ,"122 Langley Road North Suite A Glen Burnie, Maryland 21060",0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
"Apex Counseling Center LLC 3200 Eastern Avenue Baltimore, Maryland 21224 Phone: (410) 522-1181 ① MH ② TELE ③ OP ④ OMH ⑤ PROCH ARIPI CLOZA LURAS PALIP QUETI RISPE ZIPRA ⑥ CBT CFT DBT GT IDD IPT TT ⑦ PEON ⑧ PVTP ⑩ MC MD MI PI SF SI ⑫ AD CO ⑭ COOT DEC FPSY IPC SPS ⑮ NSC ⑯ SMPD ⑰ ADLT CHLD SNR YAD ⑳ F80 SP",Apex Counseling Center LLC ,"3200 Eastern Avenue Baltimore, Maryland 21224",0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"Arundel Lodge Inc 2600 Solomons Island Road Edgewater, Maryland 21037 Phone: (443) 433-5900 ① MH SUMH ② TELE ③ OP ④ CMHC ⑤ CHLOR FLUPH HALOP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ⑥ AT CBT CFT DBT GT IDD IPT TT ⑧ PVTN ⑩ CLF CMHG CSBG MC MD MI PI SF SI SMHA VAF ⑪ SS ⑫ AD TAY SE GL VET MF CJ CO TRMA PTSD SED SMI ⑭ CDM COOT DEC FPSY IMR IPC PEER PRS SEMP SH VRS ⑮ NRT NSC STU ⑯ SMON ⑰ ADLT CHLD SNR YAD ⑲ AH ⑳ SP",Arundel Lodge Inc ,"2600 Solomons Island Road Edgewater, Maryland 21037",0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1
