"County","Imprisonment_RateCounty","Total_PopCounty","IncomeMedianCounty","pctWhiteCounty","pctBlackCounty","pctBachelorsUpCounty","pctUnderPovertyCounty","pctOwnerCounty","pctRenterCounty","UnempRate16County"
"Allegany",163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818
"Anne Arundel",149.346456692913,585149,106230.015748031,75.7728093630709,16.7921022560315,43.2074834514173,6.04582062814961,74.2327796432362,25.7672203568032,4.24488188976378
"Baltimore",253.866359447005,856667,85776.2165898618,64.1731613665899,27.8232983290645,39.3705380982765,9.77933164352535,70.2159513150461,29.7840486850691,4.87188940092166
"Baltimore City",1162.02040816327,588304,56101.5459183673,30.8498004617857,64.2313182538877,31.5419159532449,21.3386588769745,48.7869783283827,51.2130216716224,8.69642857142857
"Calvert",167.722222222222,92925,110903.444444444,82.8258422016667,14.1718474493889,33.259224145,4.91784220116667,83.9140275527778,16.0859724476111,3.60555555555556
"Caroline",342.777777777778,33414,62921.2222222222,81.6109158044444,14.1772489876667,20.0481088037778,12.516799715,73.5056817311111,26.4943182688889,4.83333333333333
"Carroll",93.7567567567568,173053,101501.72972973,92.8479790489189,3.75784967540541,36.8422242816216,4.83565648027027,84.97131214,15.0286878606486,3.31351351351351
"Cecil",226.619047619048,103963,78973.7142857143,90.1014485352381,7.25923504704762,24.6360737371429,9.92331162219048,75.1961270847619,24.803872915619,5.47619047619048
"Charles",196.617647058824,166938,103108.382352941,48.8602560397059,46.3314061895,29.7049727079412,6.80962703435294,78.3662798447059,21.6337201559412,4.23823529411765
"Dorchester",510.555555555556,32720,54341.2222222222,70.7073546577778,26.1664271343333,19.5070191542222,16.148233459,67.3125535388889,32.6874464611111,7.25555555555556
"Frederick",110.076923076923,271985,103118.323076923,83.5432645752308,10.2244658844615,41.5091880476923,6.95618850752308,78.3783628027692,21.6216371970154,3.96769230769231
"Garrett",133,28846,61468.2222222222,97.9287703122222,1.35951255544444,25.1016079633333,10.3926410875556,83.27419921,16.7258007897778,4.13333333333333
"Harford",193.457627118644,261465,99195.2203389831,81.6848288818644,13.4577802519153,37.8546820779661,7.08563967155932,81.1926356383051,18.8073643613898,4.0135593220339
"Howard",62.6101694915254,332534,138376.93220339,59.2409827654237,19.4330751037288,63.3515037923729,5.14667077527119,77.1957558045763,22.8042441955254,3.85254237288136
"Kent",206.8,19239,65706.2,82.0764132,14.4158303736,36.278574978,11.0205477498,70.525003788,29.474996212,3.3
"Montgomery",59.6293103448276,1062710,125560.771551724,55.9464015764181,18.9102013520905,59.9910584733621,6.51109972418535,67.3430401304095,32.6569598695603,4.51034482758621
"Prince George's",171.088785046729,968772,89959.1588785047,16.9760552536729,65.1355668389766,33.209067394014,8.81410718375234,62.3560561310467,37.6439438688598,6.52990654205608
"Queen Anne's",149.454545454545,49947,93114.8181818182,91.0700223463636,5.92411610318182,34.8021277781818,6.29217548345455,81.7069765918182,18.2930234084545,3.40909090909091
"Somerset",544.666666666667,24745,45557.5,63.2788827916667,35.1063709266667,15.933916335,18.7716123223333,70.8463684,29.1536316,8.13333333333333
"St. Mary's",173.590909090909,113958,96258,79.6589717318182,16.3672726353636,31.1916853459091,7.99296070104545,74.0475846390909,25.9524153610909,3.19090909090909
"Talbot",183.5,37598,77612.2,86.817115395,10.7023866544,40.127418389,8.2497515857,74.563420933,25.4365790675,2.8
"Washington",312.371428571429,149756,63804.8,86.56758261,10.2432800421143,22.1441798494857,13.3747333558,66.9069512734286,33.0930487264571,6.22
"Wicomico",688.190476190476,104227,59236.619047619,65.4051200128571,29.9099832881905,26.9401245795238,17.2099960480952,54.3081434179048,45.6918565817619,7.73333333333333
"Worcester",257.9375,52607,67609.5,86.14579129,11.855176265125,29.738252243125,9.1314648250625,74.417783753125,25.5822162465625,5.93125
