OID_,Facility_Name,Physical_Address,City,State,Zip_Code,Population,Construction,Capacity,Security_Level,Facility_Type
1,FLOYD COUNTY CI,329 BLACKS BLUFF ROAD SW,ROME,GA,30161,ADULT MALE FELONS,1926,448,MEDIUM,Co. Correctional Institution
2,HALL COUNTY CI,1694 BARBER ROAD,GAINESVILLE,GA,30507,ADULT MALE FELONS,1963,240,MEDIUM,Co. Correctional Institution
3,JACKSON COUNTY CI,265 I.W. DAVIS ROAD,JEFFERSON,GA,30549,ADULT MALE FELONS,1988,150,MEDIUM,Co. Correctional Institution
4,GWINNETT COUNTY CI,750 HIGH HOPE ROAD,LAWRENCEVILLE,GA,30043,ADULT MALE FELONS,2002,512,MINIMUM,Co. Correctional Institution
5,CLARKE COUNTY CI,2825 COUNTY FARM ROAD,ATHENS,GA,30605,ADULT MALE FELONS,1987,112,MEDIUM,Co. Correctional Institution
6,CARROLL COUNTY CI,96 HORSLEY MILL ROAD,CARROLLTON,GA,30117,ADULT MALE FELONS,1991,246,MEDIUM,Co. Correctional Institution
7,COWETA COUNTY CI,101 SELT ROAD,NEWNAN,GA,30263,ADULT MALE FELONS,1976,210,MEDIUM,Co. Correctional Institution
8,CLAYTON COUNTY CI,11420 S.L. R. BOULEVARD,LOVEJOY,GA,30250,ADULT MALE FELONS,1991,242,MEDIUM,Co. Correctional Institution
9,SPALDING COUNTY CI,295 JUSTICE BOULEVARD,GRIFFIN,GA,30224,ADULT MALE FELONS,2000,384,MEDIUM,Co. Correctional Institution
10,TROUP COUNTY CI,2508 HAMILTON ROAD,LAGRANGE,GA,30240,ADULT MALE FELONS,1927,372,MEDIUM,Co. Correctional Institution
11,RICHMOND COUNTY CI,2314 TOBACCO ROAD,AUGUSTA,GA,30906,ADULT MALE FELONS,1962,220,MEDIUM,Co. Correctional Institution
12,HARRIS COUNTY CI,9982 HIGHWAY 116,HAMILTON,GA,31811,ADULT MALE FELONS,1931,125,MEDIUM,Co. Correctional Institution
13,MITCHELL COUNTY CI,4838 HIGHWAY 37 EAST,CAMILLA,GA,31908,n/a,,,,Co. Correctional Institution
14,MUSCOGEE COUNTY CI,7175 SACERDOTE LANE,COLUMBUS,GA,31908,ADULT MALE FELONS,1997,528,MEDIUM,Co. Correctional Institution
15,JEFFERSON COUNTY CI,1159 CLARKS MILL ROAD,LOUISVILLE,GA,30434,ADULT MALE - FELONY/MISDEMEANOR,1924,190,MEDIUM,Co. Correctional Institution
16,SCREVEN COUNTY CI,859 ROCKYFORD ROAD,SYLVANIA,GA,30467,n/a,,,,Co. Correctional Institution
17,BULLOCH COUNTY CI,17301 U.S.HWY 301 NORTH BLDG. 209,STATESBORO,GA,30458,ADULT MALE FELONS,1946,183,MEDIUM,Co. Correctional Institution
18,EFFINGHAM COUNTY CI,321 HWY 119 SOUTH,SPRINGFIELD,GA,31329,ADULT MALE FELONS,1914,192,MEDIUM,Co. Correctional Institution
19,SUMTER COUNTY CI,346 MCMATH MILL ROAD,AMERICUS,GA,31709,ADULT MALE FELONS,1989,350,MEDIUM,Co. Correctional Institution
20,TERRELL COUNTY CI,3110 ALBANY HIGHWAY,DAWSON,GA,39842,ADULT MALE FELONS,1947,140,MEDIUM,Co. Correctional Institution
21,COLQUITT COUNTY CI,200 SOUTH VADENBERG DRIVE,MOULTRIE,GA,31768,ADULT MALE FELONS,1954,190,MEDIUM,Co. Correctional Institution
22,DECATUR COUNTY CI,1153 AIRPORT ROAD,BAINBRIDGE,GA,39817,ADULT MALE FELONS,1954,375,MINIMUM,Co. Correctional Institution
23,THOMAS COUNTY CI,324 COUNTY FARM Road,THOMASVILLE,GA,31757,ADULT MALE FELONS,1925,185,MEDIUM,Co. Correctional Institution
24,RIVERBEND CORR FACILITY,196 LAYING FARM RD,MILLEDGEVILLE,GA,31061,ADULT MALE FELONS,2011,1588,MEDIUM,Private Prison
25,JENKINS CORR FACILITY,3404 KENT FARM DRIVE,MILLEN,GA,30442,MALE OFFENDERS,2012,1186,MEDIUM,Private Prison
