FIPS,Tract,State_Prison_Num,Census_Pop,Total_Pop,Imprisonment_Rate,,,,,
24003980000,"Anne Arundel County, Census Tract 9800",0,0,0,0,,,,,
24003990000,"Anne Arundel County, Census Tract 9900",0,0,0,0,,,,,
24005980100,"Baltimore County, Census Tract 9801",0,0,0,0,,,,,
24009990100,"Calvert County, Census Tract 9901",0,0,0,0,,,,,
24017990000,"Charles County, Census Tract 9900",0,0,0,0,,,,,
24019990000,"Dorchester County, Census Tract 9900",0,0,0,0,,,,,
24029990000,"Kent County, Census Tract 9900",0,0,0,0,,,,,
24035990000,"Queen Anne’s County, Census Tract 9900",0,0,0,0,,,,,
24035990100,"Queen Anne’s County, Census Tract 9901",0,0,0,0,,,,,
24035990200,"Queen Anne’s County, Census Tract 9902",0,0,0,0,,,,,
24039990100,"Somerset County, Census Tract 9901",0,0,0,0,,,,,
24037990000,"St. Mary’s County, Census Tract 9900",0,0,0,0,,,,,
24041990000,"Talbot County, Census Tract 9900",0,0,0,0,,,,,
24047980000,"Worcester County, Census Tract 9800",0,0,0,0,,,,,
24047990000,"Worcester County, Census Tract 9900",0,0,0,0,,,,,
24005980200,"Baltimore County, Census Tract 9802",0,6,6,0,,,,,
24003706700,"Anne Arundel County, Census Tract 7067",0,621,621,0,,,,,
24017850201,"Charles County, Census Tract 8502.01",0,972,972,0,,,,,
24005420303,"Baltimore County, Census Tract 4203.03",0,"1,319","1,319",0,,,,,
24033801105,"Prince George’s County, Census Tract 8011.05",0,"1,367","1,367",0,,,,,
24001001402,"Allegany County, Census Tract 14.02",0,"1,439","1,439",0,,,,,
24031700836,"Montgomery County, Census Tract 7008.36",0,"1,521","1,521",0,,,,,
24031704403,"Montgomery County, Census Tract 7044.03",0,"1,622","1,622",0,,,,,
24025303205,"Harford County, Census Tract 3032.05",0,"1,674","1,674",0,,,,,
24033801106,"Prince George’s County, Census Tract 8011.06",0,"1,674","1,674",0,,,,,
24005403801,"Baltimore County, Census Tract 4038.01",0,"1,678","1,678",0,,,,,
24031702502,"Montgomery County, Census Tract 7025.02",0,"1,731","1,731",0,,,,,
24025306500,"Harford County, Census Tract 3065",0,"1,851","1,851",0,,,,,
24031705300,"Montgomery County, Census Tract 7053",0,"2,049","2,049",0,,,,,
24021751001,"Frederick County, Census Tract 7510.01",0,"2,076","2,076",0,,,,,
24031704200,"Montgomery County, Census Tract 7042",0,"2,122","2,122",0,,,,,
24510261100,"Baltimore City, Census Tract 2611",0,"2,149","2,149",0,,,,,
24031702603,"Montgomery County, Census Tract 7026.03",0,"2,186","2,186",0,,,,,
24005490601,"Baltimore County, Census Tract 4906.01",0,"2,248","2,248",0,,,,,
24510240300,"Baltimore City, Census Tract 2403",0,"2,251","2,251",0,,,,,
24031700828,"Montgomery County, Census Tract 7008.28",0,"2,258","2,258",0,,,,,
24033807304,"Prince George’s County, Census Tract 8073.04",0,"2,266","2,266",0,,,,,
24031705501,"Montgomery County, Census Tract 7055.01",0,"2,377","2,377",0,,,,,
24021751203,"Frederick County, Census Tract 7512.03",0,"2,424","2,424",0,,,,,
24027606807,"Howard County, Census Tract 6068.07",0,"2,432","2,432",0,,,,,
24033800520,"Prince George’s County, Census Tract 8005.2",0,"2,440","2,440",0,,,,,
24047950700,"Worcester County, Census Tract 9507",0,"2,495","2,495",0,,,,,
24021751906,"Frederick County, Census Tract 7519.06",0,"2,521","2,521",0,,,,,
24027605504,"Howard County, Census Tract 6055.04",0,"2,541","2,541",0,,,,,
24510271300,"Baltimore City, Census Tract 2713",0,"2,660","2,660",0,,,,,
24031704805,"Montgomery County, Census Tract 7048.05",0,"2,679","2,679",0,,,,,
24027606701,"Howard County, Census Tract 6067.01",0,"2,682","2,682",0,,,,,
24031701212,"Montgomery County, Census Tract 7012.12",0,"2,723","2,723",0,,,,,
24031701202,"Montgomery County, Census Tract 7012.02",0,"2,785","2,785",0,,,,,
24031704502,"Montgomery County, Census Tract 7045.02",0,"2,786","2,786",0,,,,,
24031702604,"Montgomery County, Census Tract 7026.04",0,"2,821","2,821",0,,,,,
24013507703,"Carroll County, Census Tract 5077.03",0,"2,838","2,838",0,,,,,
24005400500,"Baltimore County, Census Tract 4005",0,"2,863","2,863",0,,,,,
24025303102,"Harford County, Census Tract 3031.02",0,"2,864","2,864",0,,,,,
24031700824,"Montgomery County, Census Tract 7008.24",0,"2,872","2,872",0,,,,,
24005408302,"Baltimore County, Census Tract 4083.02",0,"2,873","2,873",0,,,,,
24031705400,"Montgomery County, Census Tract 7054",0,"2,904","2,904",0,,,,,
24005403802,"Baltimore County, Census Tract 4038.02",0,"2,971","2,971",0,,,,,
24003740602,"Anne Arundel County, Census Tract 7406.02",0,"2,975","2,975",0,,,,,
24031706013,"Montgomery County, Census Tract 7060.13",0,"2,980","2,980",0,,,,,
24031705601,"Montgomery County, Census Tract 7056.01",0,"3,057","3,057",0,,,,,
24031703901,"Montgomery County, Census Tract 7039.01",0,"3,109","3,109",0,,,,,
24031701223,"Montgomery County, Census Tract 7012.23",0,"3,158","3,158",0,,,,,
24005490602,"Baltimore County, Census Tract 4906.02",0,"3,195","3,195",0,,,,,
24005490800,"Baltimore County, Census Tract 4908",0,"3,249","3,249",0,,,,,
24510240200,"Baltimore City, Census Tract 2402",0,"3,269","3,269",0,,,,,
24025303606,"Harford County, Census Tract 3036.06",0,"3,269","3,269",0,,,,,
24031701005,"Montgomery County, Census Tract 7010.05",0,"3,281","3,281",0,,,,,
