"FIPS","County","Tract","Imprisonment_Rate","Total_Pop","IncomeMedian","pctWhite","pctBlack","pctBachelorsUp","pctUnderPoverty","pctOwner","pctRenter","UnempRate16","pctUnder18","pctOver65","pctDepend","pctNoVeh","pctDisability","pctMedicaid","pctMedicare","pctNoHI","pctNoSP","pctNoInternet","pctRural","missing","Imprisonment_RateCounty","Total_PopCounty","IncomeMedianCounty","pctWhiteCounty","pctBlackCounty","pctBachelorsUpCounty","pctUnderPovertyCounty","pctOwnerCounty","pctRenterCounty","UnempRate16County","white","black","bachelorsUp","poverty","owner","renter","unemp","black_cat","white_cat","bachelors_cat","poverty_cat","owner_cat","renter_cat","MHF_miles","Total_TravelTime_MHF","Driving_Miles_MHF","Inpatient_miles","Total_TravelTime","Driving_Miles","Crisis_miles","Total_TravelTime_Crisis","Driving_Miles_Crisis","Walkin_miles","Total_TravelTime_Walkin","Driving_Miles_Walkin","FacilityName","Setting_Inpatient","Setting_Outpatient","Setting_PartialHospital","Setting_Residential","Setting_Tele","Emer_CrisisIntervention","Emer_Walkins","FedQualified","Payment_Medicaid","Payment_Medicare","Payment_VA","PaymentAssist_Assistance","PaymentAssist_SlidingScale","Age_Adults","IH_FacilityName","IH_Setting_Inpatient","IH_Setting_Outpatient","IH_Setting_PartialHospital","IH_Setting_Residential","IH_Setting_Tele","IH_Emer_CrisisIntervention","IH_Emer_Walkins","IH_FedQualified","IH_Payment_Medicaid","IH_Payment_Medicare","IH_Payment_VA","IH_PaymentAssist_Assistance","IH_PaymentAssist_SlidingScale","IH_Age_Adults","Crisis_IH_FacilityName","Crisis_IH_Setting_Inpatient","Crisis_IH_Setting_Outpatient","Crisis_IH_Setting_PartialHospital","Crisis_IH_Setting_Residential","Crisis_IH_Setting_Tele","Crisis_IH_Emer_CrisisIntervention","Crisis_IH_Emer_Walkins","Crisis_IH_FedQualified","Crisis_IH_Payment_Medicaid","Crisis_IH_Payment_Medicare","Crisis_IH_Payment_VA","Crisis_IH_PaymentAssist_Assistance","Crisis_IH_PaymentAssist_SlidingScale","Crisis_IH_Age_Adults","Walkin_IH_FacilityName","Walkin_IH_Setting_Inpatient","Walkin_IH_Setting_Outpatient","Walkin_IH_Setting_PartialHospital","Walkin_IH_Setting_Residential","Walkin_IH_Setting_Tele","Walkin_IH_Emer_CrisisIntervention","Walkin_IH_Emer_Walkins","Walkin_IH_FedQualified","Walkin_IH_Payment_Medicaid","Walkin_IH_Payment_Medicare","Walkin_IH_Payment_VA","Walkin_IH_PaymentAssist_Assistance","Walkin_IH_PaymentAssist_SlidingScale","Walkin_IH_Age_Adults","IncomeMedian1000"
24001000100,"Allegany","Allegany County, Census Tract 1",30,3371,55057,98.61992824,0.4692244,13.5770235,9.54885137,85.85662884,14.14337116,2.5,17.5,19.2,36.7,5.7,15.8,16.2,5.3,9.8,29.3,22.1,100,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,0,1,0,0,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Below Average","Majority Homeowner","Not Majority Renter",3.38604744589182,32.0055091571018,24.9409185820055,3.78820596668212,33.7278776440982,24.6628658944475,3.78820596668212,33.7278776440982,24.6628658944475,33.8234377520402,62.7157996421657,58.3138595337626,"Allegany County Health Department",0,1,0,0,1,1,1,0,1,1,0,0,1,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Meritus Behavioral Health Services for Meritus Medical Center",1,1,1,0,0,1,1,0,1,1,0,0,0,1,55.057
24001000200,"Allegany","Allegany County, Census Tract 2",98,4101,57353,72.73972603,24.35616438,12.12962963,5.891783567,87.34939759,12.65060241,3.4,12.6,16.3,28.9,1.2,25.1,22.8,4.2,5.7,27.1,24.5,87.27,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,0,1,0,0,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Below Average","Majority Homeowner","Not Majority Renter",0.838945537924214,19.4259931052666,10.2759651172277,1.35799595281458,22.5549824934367,10.302921734508,1.35799595281458,22.5549824934367,10.302921734508,49.7658361788685,75.1800131001889,70.9059093160838,"Allegany County Health Department",0,1,0,0,1,1,1,0,1,1,0,0,1,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Meritus Behavioral Health Services for Meritus Medical Center",1,1,1,0,0,1,1,0,1,1,0,0,0,1,57.353
24001000500,"Allegany","Allegany County, Census Tract 5",194,2059,30230,68.67523261,30.26140895,13.41853035,27.65432099,54.65616046,45.34383954,9.5,12.6,18.8,31.4,8.7,28.4,30.6,4.9,6.7,33.8,18.8,6.57,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,1,0,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Majority Homeowner","Not Majority Renter",0,5.21536963404533,1.97945467837273,0,5.21536963404533,1.97945467837273,0,5.21536963404533,1.97945467837273,54.451529024189,66.3454499803627,69.2030019523314,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Meritus Behavioral Health Services for Meritus Medical Center",1,1,1,0,0,1,1,0,1,1,0,0,0,1,30.23
24001000600,"Allegany","Allegany County, Census Tract 6",259,3089,41080,95.39325843,2.621722846,26.65647299,17.96875,70.79331199,29.20668801,5.3,26,21.9,47.9,8.8,17.2,23.4,4,0.8,31.2,14.3,0.21,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,1,0,0,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Majority Homeowner","Not Majority Renter",0.304660284473392,3.61006850971786,1.31359923725689,0.733506102691657,7.16999685755779,2.68163614425439,0.733506102691657,7.16999685755779,2.68163614425439,55.0577237382229,68.8628341472978,71.2723334697002,"Villa Maria of Mountain Maryland Catholic Charities Family Services",0,1,0,0,1,1,0,0,1,1,0,0,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Meritus Behavioral Health Services for Meritus Medical Center",1,1,1,0,0,1,1,0,1,1,0,0,0,1,41.08
24001000700,"Allegany","Allegany County, Census Tract 7",329,3341,30760,93.38922928,6.352789423,13.36166195,30.33042394,43.66459627,56.33540373,7.2,24.5,17.7,42.2,26.4,24,32.4,5.6,6.6,28.7,15.1,0,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,0,1,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Not Majority Homeowner","Majority Renter",0,2.25572312359648,0.893326277684909,1.46820456834248,8.45424962380054,3.2525615310707,1.46820456834248,8.45424962380054,3.2525615310707,56.1737722027906,69.4075043218555,71.7042086280274,"Villa Maria of Mountain Maryland Catholic Charities Family Services",0,1,0,0,1,1,0,0,1,1,0,0,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Meritus Behavioral Health Services for Meritus Medical Center",1,1,1,0,0,1,1,0,1,1,0,0,0,1,30.76
24001000800,"Allegany","Allegany County, Census Tract 8",471,1911,27041,96.64602683,2.734778122,6.111535523,33.73921867,46.18494189,53.81505811,10.3,22.1,13.8,35.9,7.3,23.3,37.6,2.8,11.8,24,18.8,0,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,0,1,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Not Majority Homeowner","Majority Renter",0.018952230295305,1.7418599086146,0.464119580015218,1.23404884566569,9.1695438239028,3.97421810577555,1.23404884566569,9.1695438239028,3.97421810577555,56.2144977708466,70.122859557114,72.4258652027322,"Villa Maria of Mountain Maryland Catholic Charities Family Services",0,1,0,0,1,1,0,0,1,1,0,0,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Meritus Behavioral Health Services for Meritus Medical Center",1,1,1,0,0,1,1,0,1,1,0,0,0,1,27.041
24001001000,"Allegany","Allegany County, Census Tract 10",608,2139,33295,96.22119816,2.903225806,17.57961783,24.09411765,48.69729986,51.30270014,12.9,23.1,25.5,48.6,22.4,28.6,29.1,9.5,4.6,40.7,33.8,0.1,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,0,1,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Not Majority Homeowner","Majority Renter",0.026279626248564,2.3943113778428,0.849877600265368,1.18885943611123,7.3302715144493,2.73510730711654,1.18885943611123,7.3302715144493,2.73510730711654,57.2460857166953,68.6278980081585,71.1683427677207,"Committed to Change PC Psychiatric Rehabilitation",0,1,0,0,0,1,1,0,1,1,0,1,1,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Meritus Behavioral Health Services for Meritus Medical Center",1,1,1,0,0,1,1,0,1,1,0,0,0,1,33.295
24001001100,"Allegany","Allegany County, Census Tract 11",70,1432,43264,95.53805774,4.111986002,42.52873563,19.67213115,60.08810573,39.91189427,6.7,16.1,20.3,36.3,19.7,20.7,19.2,4.4,1.9,22.7,9,0,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,1,1,1,0,1,"Not Majority Black","Majority White","Percent with Unemployment Above Average","Percent Under Poverty Level Above Average","Majority Homeowner","Not Majority Renter",0.305183549161693,4.43788554248131,1.69072901469799,1.48160658692006,8.02044963825686,3.3939993932577,1.48160658692006,8.02044963825686,3.3939993932577,57.5720172362628,68.9737043363118,71.8456464902144,"Committed to Change PC Psychiatric Rehabilitation",0,1,0,0,0,1,1,0,1,1,0,1,1,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Meritus Behavioral Health Services for Meritus Medical Center",1,1,1,0,0,1,1,0,1,1,0,0,0,1,43.264
24001001200,"Allegany","Allegany County, Census Tract 12",103,2902,89886,98.45378151,0.302521008,43.45182413,7.135678392,75.05866577,24.94133423,3,17.3,24.9,42.3,5.3,14.2,9.7,3.6,3.3,13.2,7.4,0,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,1,0,1,0,0,"Not Majority Black","Majority White","Percent with Unemployment Above Average","Percent Under Poverty Level Below Average","Majority Homeowner","Not Majority Renter",0.580855885367547,6.51308101464798,2.77166919583233,1.74878731098318,10.096468504159,4.47514406947308,1.74878731098318,10.096468504159,4.47514406947308,57.7835689601274,71.0497232022139,72.9267911664298,"Committed to Change PC Psychiatric Rehabilitation",0,1,0,0,0,1,1,0,1,1,0,1,1,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Meritus Behavioral Health Services for Meritus Medical Center",1,1,1,0,0,1,1,0,1,1,0,0,0,1,89.886
24001001300,"Allegany","Allegany County, Census Tract 13",0,4990,51696,49.83302412,49.12801484,7.153194129,8.349609375,71.53320313,28.46679688,6.9,5.5,8.9,14.4,7.8,17.5,11.4,4.3,2.9,16.5,10.8,0.1,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,0,0,0,0,1,0,1,"Not Majority Black","Not Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Below Average","Majority Homeowner","Not Majority Renter",1.51599456234865,8.09711298538758,4.34162842978628,2.83033947276299,11.6789404697114,6.04489326236987,2.83033947276299,11.6789404697114,6.04489326236987,58.8329062970464,72.6321951677663,74.4965403593266,"Villa Maria of Mountain Maryland Catholic Charities Family Services",0,1,0,0,1,1,0,0,1,1,0,0,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Thomas B Finan Center",1,0,0,0,1,1,0,0,1,1,0,1,0,1,"Meritus Behavioral Health Services for Meritus Medical Center",1,1,1,0,0,1,1,0,1,1,0,0,0,1,51.696
