OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1,Census Tract 1 - Location 4,1,4,1,,33.72787764,24.66286589,,,,,,0.226945143
2,Census Tract 2 - Location 4,2,4,1,,22.55498249,10.30292173,,,,,,0.057849798
3,Census Tract 5 - Location 4,3,4,1,,5.215369634,1.979454678,,,,,,0.017717519
4,Census Tract 6 - Location 4,4,4,1,,7.169996858,2.681636144,,,,,,0.018822687
5,Census Tract 10 - Location 4,5,4,1,,7.330271514,2.735107307,,,,,,0.032254691
6,Census Tract 13 - Location 4,6,4,1,,11.67894047,6.044893262,,,,,,0.084646426
7,Census Tract 14.01 - Location 4,7,4,1,,12.97014378,7.639130276,,,,,,0.121589221
8,Census Tract 14.02 - Location 4,8,4,1,,14.78509281,8.068939846,,,,,,0.073198271
9,Census Tract 15.02 - Location 4,9,4,1,,15.23263613,7.181429546,,,,,,0.06795843
10,Census Tract 15.03 - Location 4,10,4,1,,25.39141285,12.7253194,,,,,,0.141499051
11,Census Tract 16 - Location 4,11,4,1,,24.05244223,14.44441105,,,,,,0.204453397
12,Census Tract 17 - Location 4,12,4,1,,18.21628394,11.66956393,,,,,,0.14264517
13,Census Tract 18 - Location 4,13,4,1,,22.79711714,15.141394,,,,,,0.206276274
14,Census Tract 19 - Location 4,14,4,1,,19.93577518,14.11866732,,,,,,0.20033239
15,Census Tract 20 - Location 4,15,4,1,,22.72448296,13.25202348,,,,,,0.184565953
16,Census Tract 21 - Location 4,16,4,1,,28.76816735,19.11342095,,,,,,0.268749176
17,Census Tract 22 - Location 4,17,4,1,,49.12340245,29.24904208,,,,,,0.308231479
18,Census Tract 7011.01 - Location 19,18,19,1,,26.4388339,19.26492504,,,,,,0.201832912
19,Census Tract 7014 - Location 19,19,19,1,,33.81339794,25.10044673,,,,,,0.271614562
20,Census Tract 7021 - Location 19,20,19,1,,15.26383443,9.202812798,,,,,,0.0902183
21,Census Tract 7023 - Location 19,21,19,1,,23.63736044,19.57889133,,,,,,0.170758729
22,Census Tract 7024.02 - Location 19,22,19,1,,20.29384464,15.90122463,,,,,,0.169030636
23,Census Tract 7027.02 - Location 19,23,19,1,,18.22485151,12.83549555,,,,,,0.13387316
24,Census Tract 7070.01 - Location 7,24,7,1,,38.27112486,25.7211487,,,,,,0.34660776
25,Census Tract 7070.02 - Location 7,25,7,1,,36.14821717,24.87329197,,,,,,0.357709054
26,Census Tract 7080.01 - Location 7,26,7,1,,32.23902481,22.85067749,,,,,,0.289425368
27,Census Tract 7080.04 - Location 7,27,7,1,,24.341247,16.95932486,,,,,,0.228996532
28,Census Tract 7302.04 - Location 19,28,19,1,,9.12703251,3.838804278,,,,,,0.04553524
29,Census Tract 7306.01 - Location 19,29,19,1,,9.65500187,5.157630953,,,,,,0.041251075
30,Census Tract 7313.03 - Location 19,30,19,1,,14.6513729,9.779800485,,,,,,0.16448165
31,Census Tract 7402.03 - Location 19,31,19,1,,9.71913456,3.667221102,,,,,,0.047043746
32,Census Tract 7406.03 - Location 19,32,19,1,,21.6149221,12.5866522,,,,,,0.163584825
33,Census Tract 7407.01 - Location 19,33,19,1,,16.7755504,8.767697151,,,,,,0.116657761
34,Census Tract 7408 - Location 19,34,19,1,,14.49708866,8.684270891,,,,,,0.084455109
35,Census Tract 7409 - Location 19,35,19,1,,15.43085265,7.559992553,,,,,,0.096513395
36,Census Tract 7410 - Location 19,36,19,1,,7.75276244,4.033337742,,,,,,0.051989621
37,Census Tract 7515 - Location 19,37,19,1,,19.2766805,14.81336391,,,,,,0.184515103
38,Census Tract 7516 - Location 19,38,19,1,,18.48121776,12.91765026,,,,,,0.14531458
39,Census Tract 7517 - Location 19,39,19,1,,17.29145032,11.41918758,,,,,,0.120165461
40,Census Tract 4022.01 - Location 15,40,15,1,,25.90330467,18.67438774,,,,,,0.215146196
41,Census Tract 4022.02 - Location 5,41,5,1,,18.95576861,7.575460203,,,,,,0.077892502
42,Census Tract 4025.04 - Location 5,42,5,1,,26.26796231,11.01072422,,,,,,0.108946621
43,Census Tract 4037.02 - Location 1,43,1,1,,18.22566574,11.0926434,,,,,,0.145813281
44,Census Tract 4038.01 - Location 1,44,1,1,,14.81744072,8.350484097,,,,,,0.104841852
45,Census Tract 4038.02 - Location 1,45,1,1,,14.26677325,8.115349668,,,,,,0.09063809
46,Census Tract 4038.03 - Location 1,46,1,1,,12.70010746,7.290768143,,,,,,0.081808073
47,Census Tract 4041.01 - Location 15,47,15,1,,24.0744719,16.14777492,,,,,,0.220212716
48,Census Tract 4042.02 - Location 1,48,1,1,,25.15191845,17.16305838,,,,,,0.169596519
49,Census Tract 4044.02 - Location 15,49,15,1,,24.00669122,14.20553795,,,,,,0.214333048
50,Census Tract 4046 - Location 15,50,15,1,,23.35147539,14.16989944,,,,,,0.18397436
51,Census Tract 4048 - Location 15,51,15,1,,20.37609095,13.19089971,,,,,,0.165888711
52,Census Tract 4049 - Location 1,52,1,1,,20.81961546,12.03050531,,,,,,0.158481752
53,Census Tract 4050 - Location 1,53,1,1,,27.86168256,19.06214818,,,,,,0.257395719
54,Census Tract 4060 - Location 1,54,1,1,,29.84322888,24.54373568,,,,,,0.31377114
55,Census Tract 4070.01 - Location 1,55,1,1,,19.46509408,16.60298312,,,,,,0.220309574
