OBJECTID_1,Join_Count,To_MHF,TARGET_FID,JOIN_FID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,OBJECTID,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,STCOFIPS,TRACT_FIPS,FIPS,POPULATION,POP_SQMI,SQMI,Shape_Length_1,Shape_Area_1,FIPS_,OBJECTID_12,FIPS_1,Tract,County,Imprisonment_Rate,IncomeMedian,MedianAge,Total_Pop1,Total_Pop18,pctMale,pctFemale,OneRaceTotal,pctWhite,pctBlack,pctOther,Total_Pop25,pctNoHS,pctHS,pctSomeCollege,pctBachelors,pctGradAdv,pctUnderPoverty,pctOwner,pctRenter,STATEFP20_1,COUNTYFP20_1,TRACTCE20_1,GEOID20_1,NAME20_1,NAMELSAD20_1,MTFCC20_1,FUNCSTAT20_1,ALAND20_1,AWATER20_1,INTPTLAT20_1,INTPTLON20_1,OBJECTID_12_13,STATE_ABBR_1,STATE_FIPS_1,COUNTY_FIPS_1,STCOFIPS_1,TRACT_FIPS_1,FIPS_12,POPULATION_1,POP_SQMI_1,SQMI_1,Shape_Length_12,Shape_Area_12,FIPS1,Shape_Length_12_13,Shape_Area_12_13,OBJECTID_12_13_14,FIPS_12_13,Tract_1,County_1,Imprisonment_Rate_1,IncomeMedian_1,MedianAge_1,Total_Pop1_1,Total_Pop18_1,pctMale_1,pctFemale_1,OneRaceTotal_1,pctWhite_1,pctBlack_1,pctOther_1,Total_Pop25_1,pctNoHS_1,pctHS_1,pctSomeCollege_1,pctBachelors_1,pctGradAdv_1,pctUnderPoverty_1,pctOwner_1,pctRenter_1,Shape_Length,Shape_Area
1,1,0.132405002,1,216,24,003,731103,24003731103,7311.03,Census Tract,G5020,S,8562084,0,+39.0343178,-076.4946333,56,MD,24,003,24003,731103,24003731103,5974,1804.8,3.31,0.165624991,0.000890752,24003731103,88,24003731103,"Anne Arundel County, Census Tract 7311.03",Anne Arundel,67,58091,38,5528,4191,0.477749638,0.522250362,5257,0.901845159,0.062773445,0.035381396,3704,0.016738661,0.223542117,0.267008639,0.239470842,0.253239741,0.038712012,0.861008154,0.138991846,24,003,731103,24003731103,7311.03,Census Tract,G5020,S,8562084,0,+39.0343178,-076.4946333,56,MD,24,003,24003,731103,24003731103,5974,1804.8,3.31,0.165624991,0.000890752,24003731103,0.165626914,0.000890744,88,24003731103,"Anne Arundel County, Census Tract 7311.03",Anne Arundel,67,58091,38,5528,4191,0.477749638,0.522250362,5257,0.901845159,0.062773445,0.035381396,3704,0.016738661,0.223542117,0.267008639,0.239470842,0.253239741,0.038712012,0.861008154,0.138991846,0.165626914,0.000890744
2,1,0.298568389,2,216,24,003,707001,24003707001,7070.01,Census Tract,G5020,S,27326340,9371758,+38.8202066,-076.5292506,41,MD,24,003,24003,707001,24003707001,6060,570.1,10.63,0.623008933,0.002856808,24003707001,55,24003707001,"Anne Arundel County, Census Tract 7070.01",Anne Arundel,66,58539,47.6,5640,4657,0.460992908,0.539007092,5451,0.872133553,0.100165107,0.027701339,4111,0.035271224,0.34663099,0.252006811,0.220384335,0.145706641,0.013122894,0.884451544,0.115548456,24,003,707001,24003707001,7070.01,Census Tract,G5020,S,27326340,9371758,+38.8202066,-076.5292506,41,MD,24,003,24003,707001,24003707001,6060,570.1,10.63,0.623008933,0.002856808,24003707001,0.332851691,0.003806849,55,24003707001,"Anne Arundel County, Census Tract 7070.01",Anne Arundel,66,58539,47.6,5640,4657,0.460992908,0.539007092,5451,0.872133553,0.100165107,0.027701339,4111,0.035271224,0.34663099,0.252006811,0.220384335,0.145706641,0.013122894,0.884451544,0.115548456,0.332851691,0.003806849
3,1,0.052802857,3,216,24,003,740800,24003740800,7408,Census Tract,G5020,S,20233325,25677,+39.0673318,-076.6638310,78,MD,24,003,24003,740800,24003740800,4709,602.2,7.82,0.209170109,0.002108378,24003740800,129,24003740800,"Anne Arundel County, Census Tract 7408",Anne Arundel,233,46058,47.8,4858,4023,0.446891725,0.553108275,4718,0.898897838,0.053836371,0.047265791,3407,0.049603757,0.238039331,0.280011741,0.284120928,0.148224244,0.029325513,0.886800334,0.113199666,24,003,740800,24003740800,7408,Census Tract,G5020,S,20233325,25677,+39.0673318,-076.6638310,78,MD,24,003,24003,740800,24003740800,4709,602.2,7.82,0.209170109,0.002108378,24003740800,0.20917412,0.002108376,129,24003740800,"Anne Arundel County, Census Tract 7408",Anne Arundel,233,46058,47.8,4858,4023,0.446891725,0.553108275,4718,0.898897838,0.053836371,0.047265791,3407,0.049603757,0.238039331,0.280011741,0.284120928,0.148224244,0.029325513,0.886800334,0.113199666,0.20917412,0.002108376
4,1,0.130746092,4,216,24,003,702402,24003702402,7024.02,Census Tract,G5020,S,12298630,1106722,+38.9765291,-076.5659981,31,MD,24,003,24003,702402,24003702402,7373,1542.5,4.78,0.234039575,0.001287656,24003702402,37,24003702402,"Anne Arundel County, Census Tract 7024.02",Anne Arundel,54,70204,51.8,7232,6203,0.455890487,0.544109513,6977,0.935072381,0.033395442,0.031532177,5858,0.018094913,0.137248208,0.20177535,0.339535678,0.303345852,0.073539711,0.62085976,0.37914024,24,003,702402,24003702402,7024.02,Census Tract,G5020,S,12298630,1106722,+38.9765291,-076.5659981,31,MD,24,003,24003,702402,24003702402,7373,1542.5,4.78,0.234039575,0.001287656,24003702402,0.186818705,0.00139354,37,24003702402,"Anne Arundel County, Census Tract 7024.02",Anne Arundel,54,70204,51.8,7232,6203,0.455890487,0.544109513,6977,0.935072381,0.033395442,0.031532177,5858,0.018094913,0.137248208,0.20177535,0.339535678,0.303345852,0.073539711,0.62085976,0.37914024,0.186818705,0.00139354
5,1,0.124101292,5,216,24,003,731303,24003731303,7313.03,Census Tract,G5020,S,18296910,19467650,+39.0992681,-076.4535079,60,MD,24,003,24003,731303,24003731303,6734,937.9,7.18,0.531154421,0.001935863,24003731303,100,24003731303,"Anne Arundel County, Census Tract 7313.03",Anne Arundel,89,50043,50.4,6553,5222,0.495345643,0.504654357,6318,0.989711934,0,0.010288066,4789,0.066819795,0.196074337,0.334725412,0.275214032,0.127166423,0.04013429,0.943384709,0.056615291,24,003,731303,24003731303,7313.03,Census Tract,G5020,S,18296910,19467650,+39.0992681,-076.4535079,60,MD,24,003,24003,731303,24003731303,6734,937.9,7.18,0.531154421,0.001935863,24003731303,0.310022711,0.003932189,100,24003731303,"Anne Arundel County, Census Tract 7313.03",Anne Arundel,89,50043,50.4,6553,5222,0.495345643,0.504654357,6318,0.989711934,0,0.010288066,4789,0.066819795,0.196074337,0.334725412,0.275214032,0.127166423,0.04013429,0.943384709,0.056615291,0.310022711,0.003932189
6,1,0.030655555,6,216,24,003,730603,24003730603,7306.03,Census Tract,G5020,S,6409686,3175,+39.1048810,-076.5850585,49,MD,24,003,24003,730603,24003730603,3292,1327.4,2.48,0.117849699,0.000667824,24003730603,77,24003730603,"Anne Arundel County, Census Tract 7306.03",Anne Arundel,91,47317,38.7,3162,2316,0.509803922,0.490196078,3151,0.818470327,0.060933037,0.120596636,2078,0.089509143,0.230510106,0.188642926,0.328681424,0.1626564,0.016236867,0.969658256,0.030341744,24,003,730603,24003730603,7306.03,Census Tract,G5020,S,6409686,3175,+39.1048810,-076.5850585,49,MD,24,003,24003,730603,24003730603,3292,1327.4,2.48,0.117849699,0.000667824,24003730603,0.117851353,0.000667821,77,24003730603,"Anne Arundel County, Census Tract 7306.03",Anne Arundel,91,47317,38.7,3162,2316,0.509803922,0.490196078,3151,0.818470327,0.060933037,0.120596636,2078,0.089509143,0.230510106,0.188642926,0.328681424,0.1626564,0.016236867,0.969658256,0.030341744,0.117851353,0.000667821
7,1,0.025467173,7,216,24,003,730601,24003730601,7306.01,Census Tract,G5020,S,8249463,453014,+39.0992558,-076.6125962,48,MD,24,003,24003,730601,24003730601,7052,2210.7,3.19,0.1516787,0.000858997,24003730601,76,24003730601,"Anne Arundel County, Census Tract 7306.01",Anne Arundel,28,76694,42.4,6702,4987,0.522829006,0.477170994,6580,0.91337386,0.001671733,0.084954407,4586,0.031617968,0.10706498,0.182293938,0.345180986,0.333842128,0.020590868,0.932109818,0.067890182,24,003,730601,24003730601,7306.01,Census Tract,G5020,S,8249463,453014,+39.0992558,-076.6125962,48,MD,24,003,24003,730601,24003730601,7052,2210.7,3.19,0.1516787,0.000858997,24003730601,0.143851828,0.000906135,76,24003730601,"Anne Arundel County, Census Tract 7306.01",Anne Arundel,28,76694,42.4,6702,4987,0.522829006,0.477170994,6580,0.91337386,0.001671733,0.084954407,4586,0.031617968,0.10706498,0.182293938,0.345180986,0.333842128,0.020590868,0.932109818,0.067890182,0.143851828,0.000906135
8,1,0.181346774,8,216,24,003,730902,24003730902,7309.02,Census Tract,G5020,S,15485423,4955957,+39.0072068,-076.4432215,52,MD,24,003,24003,730902,24003730902,4022,669.2,6.01,0.536585273,0.001618597,24003730902,84,24003730902,"Anne Arundel County, Census Tract 7309.02",Anne Arundel,124,68879,50.3,3658,2932,0.512301804,0.487698196,3531,0.946757293,0.027187766,0.026054942,2763,0.02062975,0.121606949,0.213897937,0.326094824,0.317770539,0.024330235,0.945051941,0.054948059,24,003,730902,24003730902,7309.02,Census Tract,G5020,S,15485423,4955957,+39.0072068,-076.4432215,52,MD,24,003,24003,730902,24003730902,4022,669.2,6.01,0.536585273,0.001618597,24003730902,0.24840788,0.002125906,84,24003730902,"Anne Arundel County, Census Tract 7309.02",Anne Arundel,124,68879,50.3,3658,2932,0.512301804,0.487698196,3531,0.946757293,0.027187766,0.026054942,2763,0.02062975,0.121606949,0.213897937,0.326094824,0.317770539,0.024330235,0.945051941,0.054948059,0.24840788,0.002125906
9,1,0.176019662,9,216,24,003,706600,24003706600,7066,Census Tract,G5020,S,4048672,728010,+38.9882320,-076.5105433,39,MD,24,003,24003,706600,24003706600,5413,3469.9,1.56,0.130756567,0.000420905,24003706600,53,24003706600,"Anne Arundel County, Census Tract 7066",Anne Arundel,240,55348,40.3,4966,3798,0.50583971,0.49416029,4957,0.789187008,0.10207787,0.108735122,3616,0.08324115,0.099557522,0.26659292,0.256084071,0.294524336,0.08175594,0.760452434,0.239547566,24,003,706600,24003706600,7066,Census Tract,G5020,S,4048672,728010,+38.9882320,-076.5105433,39,MD,24,003,24003,706600,24003706600,5413,3469.9,1.56,0.130756567,0.000420905,24003706600,0.127242368,0.000496611,53,24003706600,"Anne Arundel County, Census Tract 7066",Anne Arundel,240,55348,40.3,4966,3798,0.50583971,0.49416029,4957,0.789187008,0.10207787,0.108735122,3616,0.08324115,0.099557522,0.26659292,0.256084071,0.294524336,0.08175594,0.760452434,0.239547566,0.127242368,0.000496611
10,1,0.177343856,10,216,24,003,706500,24003706500,7065,Census Tract,G5020,S,2882684,54878,+38.9729760,-076.5223790,38,MD,24,003,24003,706500,24003706500,5511,4964.9,1.11,0.114001459,0.000299654,24003706500,52,24003706500,"Anne Arundel County, Census Tract 7065",Anne Arundel,217,47188,38.3,5710,4282,0.481260946,0.518739054,5282,0.678152215,0.199734949,0.122112836,3939,0.105102818,0.247017009,0.175171363,0.208428535,0.264280274,0.025976321,0.622997007,0.377002993,24,003,706500,24003706500,7065,Census Tract,G5020,S,2882684,54878,+38.9729760,-076.5223790,38,MD,24,003,24003,706500,24003706500,5511,4964.9,1.11,0.114001459,0.000299654,24003706500,0.116335295,0.000305353,52,24003706500,"Anne Arundel County, Census Tract 7065",Anne Arundel,217,47188,38.3,5710,4282,0.481260946,0.518739054,5282,0.678152215,0.199734949,0.122112836,3939,0.105102818,0.247017009,0.175171363,0.208428535,0.264280274,0.025976321,0.622997007,0.377002993,0.116335295,0.000305353
