GEO_ID,NAME,H002001,H002001ERR,H002002,H002003,H002004,H002005,H002006
1400000US24001000100,"Census Tract 1, Allegany County, Maryland",2005,null,0,0,0,2005,0
1400000US24001000200,"Census Tract 2, Allegany County, Maryland",1468,null,187,187,0,1281,0
1400000US24001000300,"Census Tract 3, Allegany County, Maryland",1255,null,1086,1086,0,169,0
1400000US24001000400,"Census Tract 4, Allegany County, Maryland",1592,null,1413,1413,0,179,0
1400000US24001000500,"Census Tract 5, Allegany County, Maryland",1311,null,1225,1225,0,86,0
1400000US24001000600,"Census Tract 6, Allegany County, Maryland",1502,null,1502,1502,0,0,0
1400000US24001000700,"Census Tract 7, Allegany County, Maryland",1761,null,1761,1761,0,0,0
1400000US24001000800,"Census Tract 8, Allegany County, Maryland",1066,null,1066,1066,0,0,0
1400000US24001001000,"Census Tract 10, Allegany County, Maryland",1500,null,1500,1500,0,0,0
1400000US24001001100,"Census Tract 11, Allegany County, Maryland",977,null,977,977,0,0,0
1400000US24001001200,"Census Tract 12, Allegany County, Maryland",1482,null,1482,1482,0,0,0
1400000US24001001300,"Census Tract 13, Allegany County, Maryland",984,null,983,983,0,1,0
1400000US24001001401,"Census Tract 14.01, Allegany County, Maryland",1874,null,1515,1515,0,359,0
1400000US24001001402,"Census Tract 14.02, Allegany County, Maryland",736,null,736,736,0,0,0
1400000US24001001502,"Census Tract 15.02, Allegany County, Maryland",893,null,700,700,0,193,0
1400000US24001001503,"Census Tract 15.03, Allegany County, Maryland",878,null,0,0,0,878,0
1400000US24001001600,"Census Tract 16, Allegany County, Maryland",800,null,568,568,0,232,0
1400000US24001001700,"Census Tract 17, Allegany County, Maryland",2290,null,1904,1904,0,386,0
1400000US24001001800,"Census Tract 18, Allegany County, Maryland",1839,null,1761,1761,0,78,0
1400000US24001001900,"Census Tract 19, Allegany County, Maryland",1130,null,132,132,0,998,0
1400000US24001002000,"Census Tract 20, Allegany County, Maryland",2483,null,1498,1498,0,985,0
1400000US24001002100,"Census Tract 21, Allegany County, Maryland",1567,null,1082,0,1082,485,0
1400000US24001002200,"Census Tract 22, Allegany County, Maryland",1918,null,1292,0,1292,626,0
1400000US24003701101,"Census Tract 7011.01, Anne Arundel County, Maryland",1633,null,1633,1633,0,0,0
1400000US24003701102,"Census Tract 7011.02, Anne Arundel County, Maryland",3201,null,3201,3201,0,0,0
1400000US24003701200,"Census Tract 7012, Anne Arundel County, Maryland",3393,null,3329,3329,0,64,0
1400000US24003701300,"Census Tract 7013, Anne Arundel County, Maryland",2842,null,192,192,0,2650,0
1400000US24003701400,"Census Tract 7014, Anne Arundel County, Maryland",1332,null,541,275,266,791,0
