OID_,Join_Count,TARGET_FID,JOIN_FID,FIPS,COUNTY,v023_rawvalue,OBJECTID,FIPS_1,State,County_1,Unemployed,FIPStext,Chg_Unempoyment,v058_rawvalue,Shape_length_1,Shape_area_1,Status,Score,Match_type,Match_addr,Addr_type,Facility_Name,Physical_Address,City,State_1,Zip_Code,Population,Construction,Capacity,Security_Level,Facility_Type,Shape_Length,Shape_Area,Chg_Assault,chpNotSchoolNotLabFor_e1018,Chg_Median_Income,Chg_Over15Percent,chpPopPovU18_e1018
1,1,1,21,13087,Decatur County,4.666262661000000,43,13087,Georgia,Decatur,8,13087,-3,56.475827885999998,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"1153 Airport Rd, Bainbridge, Georgia, 39817",StreetAddress,DECATUR COUNTY CI,1153 AIRPORT ROAD,BAINBRIDGE,,39817,ADULT MALE FELONS,1954,375,MINIMUM,CO. CORRECTIONAL INSTITUTION,207730.141032284940593,2198144244.299352169036865,32,17.699999999999999,943.569999999999709,7.100028581091160,-0.300000000000000
2,0,2,-1,13253,Seminole County,5.290659700000000,125,13253,Georgia,Seminole,7,13253,-2,68.553098865999999,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,154208.969642798998393,906203980.344569563865662,-19,-20.100000000000001,-3586.540000000000873,0.900203174972363,4.900000000000000
3,0,3,-1,13131,Grady County,3.865593411000000,65,13131,Georgia,Grady,6,13131,-2,62.360561353000001,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,169127.502135031856596,1623138637.693361520767212,-32,7.200000000000000,9673.069999999999709,2.499968684196291,-4.400000000000000
4,1,4,24,13275,Thomas County,4.714918759000000,136,13275,Georgia,Thomas,6,13275,-1,46.021914131999999,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"324 County Farm Rd, Thomasville, Georgia, 31757",StreetAddress,THOMAS COUNTY CI,324 COUNTY FARM Road,THOMASVILLE,,31757,ADULT MALE FELONS,1925,185,MEDIUM,CO. CORRECTIONAL INSTITUTION,194431.915605029877042,1947002057.502904176712036,5,-6.100000000000000,4534.569999999999709,-7.099969878380204,-1.500000000000000
5,0,5,-1,13007,Baker County,5.094494659000000,4,13007,Georgia,Baker,6,13007,-1,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,221124.319939229899319,1243247098.255790710449219,1,-7.000000000000000,1354.220000000001164,-2.099561693174298,-29.100000000000001
6,1,6,49,13037,Calhoun County,4.255319149000000,19,13037,Georgia,Calhoun,8,13037,-4,100.000000000000000,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"27823 Main St, Morgan, Georgia, 39866",PointAddress,CALHOUN STATE PRISON,27823 MAIN STREET,MORGAN,,39866,ADULT MALE FELONS,1993,1677,MEDIUM,STATE PRISON,177353.223923318000743,1014306991.302418947219849,-7,-15.199999999999999,5640.819999999999709,4.399766751984526,-3.600000000000000
7,0,7,-1,13061,Clay County,7.692307692000000,30,13061,Georgia,Clay,7,13061,1,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,158905.337638096767478,778020558.472944498062134,-2,-9.900000000000000,1196.500000000000000,-4.199468628266585,7.200000000000000
8,0,8,-1,13099,Early County,4.583333333000000,49,13099,Georgia,Early,7,13099,-2,65.952034884000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,229134.731810159370070,1838496128.585394144058228,0,-16.699999999999999,2766.680000000000291,5.399770272793933,-1.200000000000000
9,0,9,-1,13201,Miller County,3.697120512000000,100,13201,Georgia,Miller,5,13201,-1,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,137843.622143151733326,1006539136.774712562561035,-6,11.100000000000000,10267.760000000002037,13.499496598194584,12.900000000000000
10,1,10,12,13205,Mitchell County,5.375832540000000,101,13205,Georgia,Mitchell,7,13205,-2,54.511022214999997,0.000000000000000,0.000000000000000,M,97.129999999999995,A,"4838 GA Highway 37, Camilla, Georgia, 31730",PointAddress,MITCHELL COUNTY CI,4838 HIGHWAY 37 EAST,CAMILLA,,31908,n/a,,,,CO. CORRECTIONAL INSTITUTION,210607.413449263403891,1825659168.721079349517822,81,3.900000000000000,-3671.619999999995343,-9.799965842136828,5.000000000000000
